Date,Ticker,ShortName,RedCode,Tier,Ccy,DocClause,Contributor,Spread6m,Spread1y,Spread2y,Spread3y,Spread4y,Spread5y,Spread7y,Spread10y,Spread15y,Spread20y,Spread30y,Recovery,Rating6m,Rating1y,Rating2y,Rating3y,Rating4y,Rating5y,Rating7y,Rating10y,Rating15y,Rating20y,Rating30y,CompositeCurveRating,CompositeDepth5y,Sector,Region,Country,AvRating,ImpliedRating,CompositeLevel6m,CompositeLevel1y,CompositeLevel2y,CompositeLevel3y,CompositeLevel4y,CompositeLevel5y,CompositeLevel7y,CompositeLevel10y,CompositeLevel15y,CompositeLevel20y,CompositeLevel30y,CompositeLevelRecovery
31-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
1-Aug-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
2-Aug-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
3-Aug-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
6-Aug-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
7-Aug-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
8-Aug-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
9-Aug-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
10-Aug-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
13-Aug-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
14-Aug-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
15-Aug-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
16-Aug-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
17-Aug-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
20-Aug-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
21-Aug-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
